,Name,Star,Location,Date,Title,Review
0,M. Jones ,1.0,the United States ,"December 15, 2022",Not true to size,"These underwear run way too small, my son wears a 10/12 and they fit like a 7/8."
1,Daniela,1.0,the United States ,"November 8, 2022",Very small size,"Its size according to its age is deceitful, the description of the size is confusing; since I bought one for a 9 year old and it fits a 4 year old. It also has a stiff weave."
2,Madeline,1.0,the United States ,"September 1, 2022",Size was too small,description for sizes was confusing..  My son is small for his age and I ordered size S because I figured it would be slightly on the big side.  I got underwear that fit better on my 4 year old daughter.  My son is a very skinny and short 60lb boy and S is usually his size.  Wish I would have ordered a M or even a L.
3,Tee,1.0,the United States ,"September 28, 2022",No stretch/sizing off,I buy this brand often but first time from Amazon. They had no stretch or softness and I went according to size chart which is the size of all my son’s other boxers as well. I ordered L . Even outside the size they feel terrible on the skin
4,Kimberly Harris,1.0,the United States ,"November 19, 2022",Too small,Would have been perfect for someone else but was too small for my son
5,Shay,1.0,the United States ,"December 1, 2022",Boys underwear,They are soft and comfortable.
6,Sharon & Jen,1.0,the United States ,"May 9, 2022",SHRINKS HORRIBLY!,"Went ahead and ordered a size up since most of the reviews said they ran small...my son tried them on and said they seemed good, so I unpacked both packages purchased (20 pairs!!) and washed them in cool water and dried on low. THEY ALL SHRUNK! My son cannot wear them now and I cannot return them since I do not have them in the original packaging. I have never had a Hanes product shrink so badly! Seriously disappointed and now out $33...UGH!!"
7,Akram Hussain shaikh,1.0,the United States ,"August 27, 2022",Size is Fake,I order Large size but I receive size like a kid I cannot put my leg inside size is fake I wasted my money to buy this product in future I will not suggest any one to buy this product from Amazon otherwise you waste your money😔😔😔
8,Ada,1.0,the United States ,"November 4, 2022",Wrong size arrived,"Way too big. Says boys, came in men size"
9,MrsO837,1.0,the United States ,"July 12, 2022","Arrived stuffed into a bag, one *looks* new","Tried getting a refund on these boys underwear as they look used and ARE likely a return. They were stuffed into a clear bag and tossed into the box with the rest of my order *more underwear and socks as well. Tossing the Hanes knowing I won't get my money back. Better than another parent buying someone's discards, I guess."
10,S.M.S.,2.0,the United States ,"December 3, 2022",Size Chart Incorrect.  Runs very small. Size up!!,Bought mediums for my 8 year old based on the provided size chart and they are too small.  Unfortunately my husband had unpacked them so I can't return and I doubt he will be able to get them on. For reference both in picture are Hanes MEDIUM…gray ones are these. Way too small!
11,Janice Miller ,2.0,the United States ,"November 27, 2022",Size up,These fit small so be sure to size up at least one size.
12,leah camacho,2.0,the United States ,"July 5, 2022",Runs small,I was warned to buy larger. Fitting guidelines said my kid would fit the size medium according to his measurements. But for the weight he barely tipped into the large.  So I sided on the bigger size. He's too big for even the larger size up I purchased. He says they squeeze his booty too much. They look cheap too. Like all the seams will pop if they get tight.
