,Name,Star,Location,Date,Title,Review
0,carla w.,1.0,the United States ,"March 23, 2022",Missing,I only received 6 pair not 12 the photo shows 12 pairs I’d like a replacement please
1,mamma3,1.0,the United States ,"January 22, 2013",Hane's Red Label Crew socks,"I really don't like to write bad reviews but these socks are really not good.  They are white and cushion-y but they have very little shape.  They do not hug the feet.  They fall down and bunk inside boots.  My daughter won't even wear them.  (I bought the same sock for my son (Green Label Crew) in a different size and they are exactly as terrible as the ""girls"").  I am not usually disappointed in any Hanes products but these are definitely not acceptable."
2,DinaZ,1.0,the United States ,"July 3, 2013",No shape to these socks,"They were actually very funny as the shape was balloon-like at the bottom of the tube ankle part.There was no way these socks would fit, keep a sock shape or fit inside a shoe.We threw them out. Not even good enough for sock monkeys."
3,bronx girl,1.0,the United States ,"July 7, 2014",tears quickly,These sock tore at the top area quickly. I would not recommend them.
4,Summer,2.0,the United States ,"July 6, 2022",Terrible,"These feel like polyester and washed terribly. Pills and pulls all over, following the first wear/wash. Sent them back for a refund."
5,47states,2.0,the United States ,"April 4, 2018",Not as pictured - half had colored toes,The socks were okay but I bought these for a boy and the socks that arrived were half white and the other half had colored toes. My brother is handicapped and only likes white Hanes without the grey heel so I thought these would be perfect but they mis-represented them (or sent the wrong ones).
6,Cassie Richardson,3.0,the United States ,"September 19, 2022",Nice socks but triple check your sizing,"*Above pictures show a women’s size medium sock for comparison.Second picture shows a boys size large on the left (same brand) and a girls size medium on the right (two different brands)*My 7 year old daughter wears a girls medium in any other sock. She’s growing out of them so we bought a girls size large. I guess I’m to blame for not checking the sizing, but a girls large ranges from size 4-10??? I only wear a size 7. They should be labeled as one size fits all ages 13+ with that size range, or at least as women’s sized, not child sized. Not at all what I was trying to order.They seem like comfortable enough socks, I didn’t need more socks but I guess I have more socks now and still have to order more for my daughter. They also took forever to be delivered. Not very happy about my order."
7,Kerry G.,3.0,the United States ,"April 20, 2022",Way too large!,Maybe I wasn’t understanding the sizing but I bought these for my 5 year old and they are huge!! She wears a children’s size 10 shoe. I returned them.  This was disappointing because the quality and value for the price seemed excellent. The size was the only reason why I gave this 3 stars overall. Otherwise I would’ve rated them higher. I can’t comment on how they hold up in the wash.
8,Anne,3.0,the United States ,"January 5, 2021",Pilled up after one wash.,"Nice socks, until the first wash. Daughter liked them, but after one wash they are all pilled up, nasty looking! Not sure what the deal is, but all the Hane's socks I got her did this (purchased a few different styles from different retailers). They were to replace all of her FOTL socks, which had all pilled up (over time)."
9,Kendra H.,3.0,the United States ,"November 1, 2014",They are not bad but they are wide not that stretchy or tight,They are not bad but they are wide not that stretchy or tight. I would consider them around the house socks but my daughter could care less. I know they gather in her shoes...but it doesn't bother her.
10,alexisf514,3.0,the United States ,"May 22, 2013",Too large,"Socks are of good quality but they do not fit snugly around the foot, The length is not the problem, but they are very wide, at least for my granddaughters who are on the thin side."
11,Kim Wright,4.0,the United States ,"November 27, 2022",Great for kids,Bought for my granddaughter and no complaints so far!
12,Joshi's,4.0,the United States ,"April 18, 2022",Fits,"These are good for the price. I wasn't expecting much because lets agree, none of the socks hold up for school kids.  These have so far.  they are super soft and has not shrinked.  The colors are vibrant and has literally every color to match all outfits."
13,E. Greene,4.0,the United States ,"May 29, 2022",Cute and comfy,Perfect for the kid...she loves them...she wears a size 3 at 7 y/o..
14,Vincent Morris,4.0,the United States ,"February 16, 2022",Kid wears size 2 shoes needs medium socks,The size chart is worthless... My 5 year old needs mediums instead of these large we ordered
15,TMB,4.0,the United States ,"March 3, 2014",sock sizing is confusing!,"I have always been baffled by the way socks are sized. I bought these for my daughter who is 9 and wears a size 4 shoe.  These are to fit size 4-10. While I was fully aware that these would be big in order to fit up to size 10, they were far bigger than I imagined.  They fit me and I wear a 9.  But they are soft and fit well and don't slouch around the ankles. I've washed them a few times and they are holding up well, which I expect from Hanes. I would recommend for durability and comfort but would caution on the fit and suggest these for anyone wearing a size 6-10. Anything smaller than that should go with the medium."
16,Roser,4.0,the United States ,"January 2, 2015",Good socks,These are good socks.  Not as thick as I thought they'd be but they do the job.  They are not thin..
17,Ashlie,4.0,the United States ,"March 18, 2013",Plain socks,"Plain, white socks that are perfectly fine for my 4 year old girl. They aren't too thick so she can wear them with any shoe style, which I like."
18,Romantic,4.0,the United States ,"May 5, 2013",comfy,"Love 'em. Great price, great fit. Very comfortable to wear. I bought these and other socks for me and my girls, and all of us prefer wearing these by far."
19,stephanie wells,4.0,the United States ,"August 30, 2014",Got toes?,"Toes a bit boxy, but good sock for price."
20,Stephanie Lerro,4.0,the United States ,"December 15, 2022","The socks, have a good fit, look nice, and what’s good as they came with multiple pairs of them.",The socks seem pretty good or true to size. What we like about it the most is that there’s multiple pairs of them and the color seem pretty good. Plus they fit pretty well for my daughter.
21,Esther Méndez,5.0,the United States ,"December 7, 2022","Muy a gusto con el producto, muchas gracias","Son bastante cómodas, el material se vé bastante bueno y resistente, los colores muy bonitos y bien combinados."
22,Bre B,5.0,the United States ,"November 22, 2022",Great quality,"These are great socks for my 4 year old. We've tried different brands that are not as great quality, don't last long, or feel too thin. These are thick, but not too thick. Comfy and easy for her to put on and off herself."
23,Marian,5.0,the United States ,"December 12, 2022",Perfect,Comfy socks that fit well
24,Julia,5.0,the United States ,"December 9, 2022","Good, comfortable, fit.",I have small feet. Those shocks fit me great.
25,Amazon Customer,5.0,the United States ,"November 28, 2022",Comfortable and durable!,Comfortable. Nice and thick.  Durable!  And for a good price!  What more could you ask for?
26,Amazon Customer,5.0,the United States ,"December 2, 2022",Fits my daughter perfectly!,Excellent socks & you can’t beat the price.
27,Brittany Bullock,5.0,the United States ,"November 24, 2022",So soft!,My daughter is very picky about socks and she LOVES these! They are sooo soft!!
28,Kat,5.0,the United States ,"November 17, 2022",Fits well,"Great fit for 9 year old who wears size 3, fits past the ankle bone and prevents the shoe from rubbing the back of her ankle"
29,Laura Sprague,5.0,the United States ,"November 10, 2022",Great deal,Good quality and good number of socks for the price
30,Mathew,5.0,the United States ,"October 18, 2022",Nice socks,"Perfect for my 6 year old girl. They have the right amount of fun with all the colors, while still allowing her to feel like she has socks ""for big girls"". They are so comfy and fit her perfectly; no problems with holes or threading. Would definitely buy again."
31,shinobi,1.0,the United States ,"July 26, 2022",Sizes are off,Size XL is a 10. Most XLs in children’s clothes are 12/14. There isn’t a reliable size chart available and it makes purchasing very difficult.
32,Robert Hallow Knight,1.0,the United States ,"February 4, 2021",Poor Quality !,I purchased these snow pants for my 7 year old granddaughter and the crotch seam split on the third use.  It doesn’t appear to have been completely sewn together just tacked together. If you zoom in on the photo you can see only the threads where the seam was tacked together every couple of inches.  So I would rate them poor in terms of durability and quality.
33,Goldencurls90,1.0,the United States ,"December 31, 2021",115lbs 5’3,Ummmmm these are not true to size AT ALL I prefer pink in M I am def a xs s but I wanted room. Um no I had to give these to a CHILD I weigh 115 and am 5’3 so like yeah
34,Darcy,1.0,the United States ,"January 29, 2021",They rip,"I bought my daughter the rainbow pair last year, I washed them and the whole crotch part ripped open. I thought well, they are a year old, no big deal.  A few weeks ago I bought the red pair, lesson learned!  She came home from school yesterday and this red pair ripped in the same spot!"
35,Amazon Customer,1.0,the United States ,"February 26, 2021",Zipper broke during first wear,Zipper broke after the first wear. Quality is okay - but without a zipper they aren’t helpful! Now too late to return so we will end up spending more than the pants cost to replace the zipper. I may just invest in a better branded pair!
36,Shannon Hoffman,1.0,the United States ,"January 21, 2021",My Daughter was soaked!!!,If I could give these 0 stars I would. My daughter wore these 1 time for about 15 minutes and came in completely soaked. They are not water/ snow resistant or waterproof at all! Maybe we just got a bad pair but I was very disappointed.
37,Rakhee Sonthalia,1.0,the United States ,"January 2, 2021",Didn’t even last 2 hours,Stitch cake off on one leg after an hour of wearing. We then had to head to a store and buy a replacement. I would not buy this again.
38,Teddy Barbeau,1.0,the United States ,"March 10, 2021",poor fit,The fit is not great. the outer leg fabric was constantly rolling up from the inner lining. Would not recommend or buy again.
39,amydejonge,1.0,the United States ,"January 31, 2021",Not durable,"They fit great & are want, but had holes in them within a couple of wears."
40,Jose Arias,1.0,the United States ,"December 8, 2022",Mal sistema no mantienen el precio al tratar de cambiar,"Trate de comprar esta ropa por el sistema prueba y paga después la talla que llegó era muy pequeña trate de cambiarlo pero no me dio opción bueno inicié la devolución, para mi sorpresa inngreso nuevamente a comprar y me indica que si hay la talla que necesito pero el precio es mucho mayor me parece raro está situación"
41,TheColorofTea,2.0,the United States ,"April 17, 2022",Too puffy,"Uncomfortable, too puffy, hard to move in"
42,Delia M. Bryson,2.0,the United States ,"December 20, 2021",Runs small,It runs small..  ordered a large barely fits my 11 year old
43,JA,2.0,the United States ,"February 22, 2021",Cheap Zipper,My daughter wore this about 3 times in Colorado.  The zipper seems to be plastic and one of the teeth were messed up so the zipper wouldn't stay closed it kept splitting open.
44,Kianna Jensen,2.0,the United States ,"March 7, 2021",Ripped within 6 weeks,Knee ripped within the first 6 weeks of use. Otherwise they were awesome. Just bummed that they didnt last longer
45,Thelma Ireton,2.0,Canada ,"January 25, 2020",,"My daughter loved these snow pants from the moment she got them. Unfortunately, we've only had them for close to three months and they are starting to tear where the straps attach to the bib at the back. Soon enough they will be fully ripped and no longer work. For $37.00 snow pants this is unacceptable.Amazon- Please provide a contact email address so we can speak further about a replacement pair."
46,Sara,2.0,Canada ,"December 29, 2020",,Bought these for my daughter but they were too small. Very well made but runs too small
47,Amazon Customer,2.0,Canada ,"February 9, 2021",,Order big
48,J B,3.0,the United States ,"December 14, 2022",Torn cuff,"Snow pants cost about $20 with discount, but is it really a good deal when product arrives defective? Besides torn cuff, pants seemed nice. Who knows what will tear next though. Returned."
49,tessa,3.0,the United States ,"August 27, 2022",Fit wide,I purchased these for back up for my children. Good for the money however the fit is wide. Fit more like a hefty size than standard.
